1.0,2.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,50.0
0.0,1.0,1.0,1.0,-1.0
1.0,1.0,2.0,2.0,-1.0
2.0,0.0,1.0,1.0,-1.0
1.0,1.0,2.0,2.0,-1.0
2.0,1.0,3.0,3.0,-1.0
3.0,1.0,4.0,4.0,-1.0
4.0,2.0,4.0,4.0,0.0
4.0,1.0,5.0,4.0,-1.0
